Customer ID,PurchaseFrequency,TotalQuantity,TotalSpending,Cluster
12346.0,1,74215,77183.6,1
12347.0,7,2458,4310.0,0
12348.0,4,2341,1797.24,0
12349.0,1,631,1757.55,0
12350.0,1,197,334.4,0
12352.0,8,536,2506.04,0
12353.0,1,20,89.0,0
12354.0,1,530,1079.4,0
12355.0,1,240,459.4,0
12356.0,3,1591,2811.43,0
12357.0,1,2708,6207.67,0
12358.0,2,248,1168.06,0
12359.0,4,1622,6372.58,0
12360.0,3,1165,2662.06,0
12361.0,1,91,189.9,0
12362.0,10,2229,5226.23,0
12363.0,2,408,552.0,0
12364.0,4,1506,1313.1,0
12365.0,2,174,641.38,0
12367.0,1,173,168.9,0
12370.0,4,2353,3545.69,0
12371.0,2,591,1887.96,0
12372.0,3,794,1298.04,0
12373.0,1,197,364.6,0
12374.0,1,342,742.9300000000001,0
12375.0,2,178,457.5,0
12377.0,2,944,1628.12,0
12378.0,1,2529,4008.62,0
12379.0,2,407,852.24,0
12380.0,4,1127,2724.81,0
12381.0,5,808,1845.31,0
12383.0,5,1532,1850.56,0
12384.0,2,126,585.27,0
12386.0,2,354,401.9,0
12388.0,6,1462,2780.66,0
12390.0,1,353,549.84,0
12391.0,1,300,460.89,0
12393.0,4,816,1582.6000000000001,0
12394.0,2,819,1272.48,0
12395.0,12,2118,3018.63,0
12397.0,2,1263,2409.9,0
12398.0,1,1394,1635.6599999999999,0
12399.0,4,1178,1108.65,0
12401.0,1,11,84.3,0
12402.0,1,94,225.6,0
12403.0,1,96,427.7,0
12405.0,1,857,1710.39,0
12406.0,2,1818,3415.3,0
12407.0,5,1416,1708.1200000000001,0
12408.0,5,1409,2888.55,0
12409.0,3,5551,11072.67,0
12410.0,2,211,693.3299999999999,0
12412.0,3,829,1226.88,0
12413.0,3,286,758.1,0
12414.0,3,300,562.41,0
12415.0,21,77374,124914.53,1
12417.0,9,1552,3649.1,0
12418.0,1,407,668.58,0
12420.0,1,345,600.39,0
12421.0,4,484,807.04,0
12422.0,3,370,803.5600000000001,0
12423.0,8,1339,1859.31,0
12424.0,2,740,1760.96,0
12425.0,1,496,777.2,0
12426.0,1,258,582.73,0
12427.0,3,533,825.8,0
12428.0,9,3536,7956.46,0
12429.0,4,1557,3750.4,0
12430.0,1,117,256.4,0
12431.0,15,2906,6487.45,2
12432.0,5,1801,5059.32,0
12433.0,7,11071,13375.87,2
12434.0,2,394,806.14,0
12435.0,2,2055,7829.89,0
12436.0,1,211,509.01,0
12437.0,18,2922,4951.41,2
12438.0,2,1180,2906.85,0
12441.0,1,121,173.55,0
12442.0,1,182,172.06,0
12444.0,5,1153,5005.46,0
12445.0,1,62,133.4,0
12446.0,1,351,1002.3100000000001,0
12447.0,1,190,476.49,0
12448.0,1,243,449.45,0
12449.0,4,1553,4067.29,0
12450.0,2,128,197.88,0
12451.0,5,6575,9035.52,0
12452.0,2,185,430.57,0
12453.0,1,473,707.09,0
12454.0,1,1006,3528.34,0
12455.0,6,2089,2466.86,0
12456.0,3,1633,3181.04,0
12457.0,7,843,2363.23,0
12458.0,2,506,947.4,0
12461.0,2,287,826.88,0
12462.0,2,536,1189.59,0
12463.0,4,776,1344.78,0
12464.0,8,112,1212.05,0
12465.0,2,479,742.1899999999999,0
12468.0,2,366,729.5400000000001,0
12471.0,30,8212,19824.05,2
12472.0,7,4148,6572.11,0
12473.0,5,2439,3938.5499999999997,0
12474.0,18,4847,7375.79,2
12475.0,1,535,723.38,0
12476.0,11,2408,6816.42,0
12477.0,6,3653,13219.74,0
12478.0,1,236,680.99,0
12479.0,1,385,527.2,0
12480.0,4,1707,3281.63,0
12481.0,10,3304,5596.32,0
12483.0,8,1110,2484.98,0
12484.0,6,2191,4541.72,0
12488.0,3,529,1298.66,0
12489.0,1,105,334.93,0
12490.0,10,3064,5417.93,0
12491.0,1,260,460.40000000000003,0
12492.0,2,192,263.21000000000004,0
12493.0,2,207,433.74,0
12494.0,7,707,1246.1000000000001,0
12497.0,1,1236,1043.1,0
12498.0,3,159,403.70000000000005,0
12500.0,11,2678,4257.82,0
12501.0,1,1783,2169.39,0
12502.0,5,820,3723.87,0
12504.0,2,90,482.04999999999995,0
12506.0,1,23,73.5,0
12507.0,3,894,1304.81,0
12508.0,2,272,398.27,0
12509.0,1,55,176.5,0
12510.0,2,353,982.5699999999999,0
12512.0,2,99,138.03,0
12513.0,1,462,612.29,0
12514.0,1,440,1017.68,0
12515.0,1,131,383.7,0
12516.0,2,875,1312.06,0
12517.0,5,1371,2502.84,0
12518.0,5,1318,2056.89,0
12519.0,1,183,340.84,0
12520.0,5,1439,2634.26,0
12521.0,1,309,599.68,0
12522.0,2,194,192.72,0
12523.0,11,865,1789.77,0
12524.0,8,3699,4485.72,0
12526.0,3,632,1316.66,0
12527.0,3,234,348.71000000000004,0
12528.0,6,756,1933.48,0
12530.0,4,913,1662.28,0
12531.0,1,45,125.22,0
12532.0,1,153,349.83000000000004,0
12534.0,1,651,1089.18,0
12535.0,2,219,716.35,0
12536.0,3,2803,12601.830000000002,0
12538.0,1,191,363.95,0
12539.0,4,2067,5568.35,0
12540.0,17,6685,13400.24,2
12541.0,3,680,981.18,0
12544.0,1,136,372.7,0
12545.0,2,523,1000.39,0
12546.0,2,633,1161.5,0
12547.0,2,134,207.79999999999998,0
12548.0,1,49,95.19999999999999,0
12550.0,1,569,964.83,0
12551.0,1,100,168.0,0
12552.0,2,88,437.82,0
12553.0,10,1965,3692.28,0
12556.0,2,358,603.71,0
12557.0,5,4384,11990.960000000001,0
12558.0,1,196,269.96,0
12559.0,2,283,561.71,0
12560.0,3,1110,2134.01,0
12561.0,1,177,238.85,0
12562.0,7,1779,3781.7400000000002,0
12564.0,1,133,456.9,0
12565.0,1,80,145.92,0
12566.0,1,265,351.65,0
12567.0,10,4305,9401.28,2
12569.0,32,1801,4124.69,2
12571.0,2,523,519.61,0
12572.0,2,452,1020.42,0
12573.0,1,84,160.54000000000002,0
12574.0,1,61,218.45,0
12576.0,5,967,1315.83,0
12577.0,3,472,657.8,0
12578.0,2,1196,2794.51,0
12579.0,1,285,440.42,0
12580.0,1,238,415.7,0
12581.0,1,161,197.71,0
12582.0,2,300,511.36,0
12583.0,15,5060,7281.38,2
12584.0,9,416,2338.15,0
12585.0,2,1279,2040.1,0
12586.0,1,79,196.94000000000003,0
12587.0,1,51,144.0,0
12588.0,1,53,214.89999999999998,0
12589.0,2,306,646.68,0
12590.0,2,4283,9864.26,0
12591.0,1,228,452.84999999999997,0
12592.0,2,290,437.6,0
12593.0,3,206,418.09999999999997,0
12594.0,10,1777,3338.2200000000003,0
12596.0,2,474,618.27,0
12597.0,4,2236,3811.22,0
12598.0,8,1964,3023.08,0
12599.0,7,956,1032.58,0
12600.0,10,774,2599.04,0
12601.0,5,245,577.0600000000001,0
12602.0,1,162,153.12,0
12603.0,1,63,739.1999999999999,0
12604.0,2,201,254.18,0
12607.0,1,1228,1579.51,0
12609.0,3,648,1126.85,0
12610.0,5,1049,2099.54,0
12611.0,1,846,1193.32,0
12612.0,1,262,704.0400000000001,0
12613.0,5,1644,3344.38,0
12614.0,1,76,315.6,0
12615.0,4,1376,2291.19,0
12616.0,2,284,713.3,0
12617.0,1,213,355.53,0
12618.0,1,96,177.31,0
12619.0,9,3378,3641.24,0
12620.0,3,1181,1339.41,0
12621.0,20,7440,13689.67,2
12622.0,1,69,180.1,0
12623.0,1,191,305.1,0
12624.0,2,355,641.13,0
12625.0,2,1612,2683.82,0
12626.0,9,3453,6620.48,0
12627.0,7,2752,4478.53,0
12628.0,3,448,786.46,0
12630.0,2,548,1270.88,0
12631.0,1,236,640.5,0
12633.0,4,1162,2163.98,0
12635.0,2,1172,1689.18,0
12637.0,8,3002,6021.9,0
12638.0,1,577,671.69,0
12639.0,1,201,486.1,0
12640.0,3,311,1174.58,0
12641.0,1,72,185.9,0
12642.0,3,552,1013.26,0
12643.0,6,1808,3344.64,0
12644.0,1,325,477.91,0
12645.0,4,1084,1775.18,0
12646.0,2,897,1346.97,0
12647.0,12,1431,3722.82,0
12648.0,1,160,318.05,0
12649.0,3,586,623.51,0
12650.0,1,254,314.44,0
12651.0,1,78,114.0,0
12652.0,1,505,919.98,0
12653.0,2,919,2209.85,0
12654.0,5,264,601.98,0
12656.0,5,1723,4051.17,0
12657.0,4,1044,1643.18,0
12658.0,1,320,686.05,0
12659.0,1,105,91.68,0
12660.0,1,127,245.1,0
12662.0,11,2058,3849.78,0
12664.0,9,1203,4881.88,0
12665.0,1,37,63.0,0
12667.0,1,395,620.13,0
12668.0,4,1634,3807.15,0
12669.0,3,1115,2744.0299999999997,0
12670.0,5,1397,2996.05,0
12672.0,1,78,225.89999999999998,0
12673.0,2,351,610.52,0
12674.0,4,1133,1970.6,0
12676.0,6,670,1331.39,0
12678.0,12,10923,17628.46,2
12679.0,4,554,1113.02,0
12680.0,4,444,880.81,0
12681.0,22,7536,13787.54,2
12682.0,31,5575,12288.22,2
12683.0,15,4987,8476.57,2
12684.0,7,1985,2283.63,0
12685.0,6,1523,2863.08,0
12686.0,1,107,89.14,0
12688.0,1,3028,4873.8099999999995,0
12689.0,2,628,1247.61,0
12690.0,1,106,389.01,0
12691.0,6,394,1035.8,0
12693.0,4,255,855.91,0
12694.0,2,509,869.67,0
12695.0,4,220,582.1,0
12697.0,3,508,957.59,0
12700.0,4,2967,4939.99,0
12701.0,2,678,797.71,0
12702.0,1,53,219.0,0
12703.0,1,164,283.55,0
12704.0,8,1006,2340.84,0
12705.0,9,3997,6868.29,0
12707.0,1,256,603.42,0
12708.0,10,1307,2712.91,0
12709.0,15,3936,9736.52,2
12710.0,3,851,1149.02,0
12712.0,13,1062,4396.13,0
12713.0,1,508,848.55,0
12714.0,5,3069,4708.86,0
